time_seconds,energy
1773752201.658,2.316573582267223e-13
1773752201.66,2.328572176659577e-13
1773752201.662,2.3295720821131516e-13
1773752201.663,2.3255727313493957e-13
1773752201.666,2.340570771051931e-13
1773752201.668,2.327572271206002e-13
1773752201.67,2.3305719875667263e-13
1773752201.672,2.3385709601447813e-13
1773752201.673,2.327572271206002e-13
1773752201.676,2.3305719875667263e-13
1773752201.678,2.3225730149886714e-13
1773752201.68,2.3135741369570417e-13
1773752201.681,2.3025754480182625e-13
1773752201.683,2.307574704235593e-13
1773752201.686,2.2905768536259086e-13
1773752201.688,2.307574704235593e-13
1773752201.689,2.2905768536259086e-13
1773752201.691,2.2945764754402076e-13
1773752201.694,2.3065747987820184e-13
1773752201.696,2.3105744205963175e-13
1773752201.697,2.292576664533058e-13
1773752201.699,2.2915767590794833e-13
1773752201.701,2.285577326358035e-13
1773752201.704,2.2785782592335546e-13
1773752201.705,2.269579381201925e-13
1773752201.707,2.2665796648412007e-13
1773752201.709,2.2505815841598192e-13
1773752201.711,2.2425826115817643e-13
1773752201.713,2.2365833143855873e-13
1773752201.715,2.231583922642985e-13
1773752201.717,9.857335081650195e-14
1773752201.719,2.2235848145396586e-13
1773752201.721,2.2175856528687532e-13
1773752201.723,2.212586261126151e-13
1773752201.725,2.2115863556725762e-13
1773752201.727,2.206586963929974e-13
1773752201.729,2.2105864502190015e-13
1773752201.731,2.212586261126151e-13
1773752201.733,2.2185854227970564e-13
1773752201.735,2.2115863556725762e-13
1773752201.737,2.1965881804447696e-13
1773752201.739,2.1955882749911948e-13
1773752201.741,2.2045871530228245e-13
1773752201.743,2.2015875721873718e-13
1773752201.745,2.2075867338582772e-13
1773752201.747,2.1925885586304705e-13
1773752201.749,2.2105864502190015e-13
1773752201.751,2.2045871530228245e-13
1773752201.753,2.2095865447654267e-13
1773752201.755,2.2095865447654267e-13
1773752201.757,2.2215851391577807e-13
1773752201.759,2.2245847199932334e-13
1773752201.761,2.2165857474151784e-13
1773752201.763,2.2215851391577807e-13
1773752201.765,2.2175856528687532e-13
1773752201.767,2.2275844363539576e-13
1773752201.769,2.2105864502190015e-13
1773752201.771,2.214585936508029e-13
1773752201.773,2.2155858419616037e-13
1773752201.775,2.2045871530228245e-13
1773752201.777,2.2075867338582772e-13
1773752201.779,2.208586639311852e-13
1773752201.781,2.1925885586304705e-13
1773752201.783,2.1815898696916913e-13
1773752201.785,2.1675915999174594e-13
1773752201.787,2.1495937083289285e-13
1773752201.789,2.1385950193901493e-13
1773752201.791,2.1255966550694921e-13
1773752201.793,2.1135980606771382e-13
1773752201.795,2.1185974524197404e-13
1773752201.797,2.1155978715842877e-13
1773752201.799,2.0975999799957568e-13
1773752201.801,2.114597966130713e-13
1773752201.803,2.0995997909029063e-13
1773752201.805,2.0926005882531545e-13
1773752201.807,2.096600074542182e-13
1773752201.809,2.0806019938608006e-13
1773752201.811,2.0836017102215248e-13
1773752201.813,2.0706032103755961e-13
1773752201.815,2.0646039131794192e-13
1773752201.817,2.0466061571161598e-13
1773752201.819,2.045606251662585e-13
1773752201.821,2.0186094820424244e-13
1773752201.823,2.00861069855722e-13
1773752201.824,2.0076107931036452e-13
1773752201.827,1.9896129015151143e-13
1773752201.829,1.9876132261332363e-13
