Bolide Luminosity and Fragmentation Simulation — v7
Dia: 1.1 m | Vel: 14.4 km/s | theta: 38.0 deg | Strength: 6.0e+06 → 1.0e+07 Pa

Initial area     = 3.8013e+00 m²
Initial mass     = 2.3695e+03 kg
Initial strength = 6.0000e+06 Pa

Initial altitude = 6.4581e+06 meters
Initial position = 0.0000e+00 meters
Initial velocity = 1.4400e+04 m/s
Initial time     = 0.0000e+00 s

Initial angle of entry = 38.000 deg
Initial angle of entry = 0.663 rad

Initial x-component velocity = 1.1347e+04 m/s
Initial z-component velocity = -8.8655e+03 m/s
Initial alpha angle          = 0.0000e+00 deg
Initial delta angle          = 5.2000e+01 deg
Initial gamma angle          = 5.2000e+01 deg
Initial flight path angle    = 3.8000e+01 deg
Initial downrange distance   = 0.0000e+00 meters
Initial Earth surface x-comp = 6.3781e+06 meters
Initial Earth surface z-comp = 6.3781e+06 meters

Setting total radiated energy to 0.0000e+00 J

time = 7.5000e-02  lum = 5.9187e+07  alt = 6.4575e+06  mass = 2.3647e+03  dia = 1.0993e+00  area = 3.7962e+00
KE = 2.4519e+11  v = 1.4400e+04  acc = 2.1241e+00  E_rad_ttl = 4.2191e+06  E_dep = 5.0406e+08  Fdrag = 5.7309e+03  theta_deg = 38.000
q_h = 8.6951e+07  q = 4.0255e+03  M = 3.9852e+01  T_stag = 6.0609e+04  p_stag = 4.0297e+03  T_surf = 6.4247e+03
T = 3.7923e+02  p = 4.2244e+00  rho = 3.8827e-05  a = 3.6133e+02  tau = 8.5439e-03  frag_stage = 0

time = 7.8000e-02  lum = 5.9441e+07  alt = 6.4574e+06  mass = 2.3645e+03  dia = 1.0992e+00  area = 3.7960e+00
KE = 2.4517e+11  v = 1.4400e+04  acc = 2.1269e+00  E_rad_ttl = 4.3974e+06  E_dep = 5.2489e+08  Fdrag = 5.7455e+03  theta_deg = 38.000
q_h = 8.7177e+07  q = 4.0360e+03  M = 3.9856e+01  T_stag = 6.0609e+04  p_stag = 4.0402e+03  T_surf = 6.4289e+03
T = 3.7915e+02  p = 4.2345e+00  rho = 3.8928e-05  a = 3.6130e+02  tau = 8.5588e-03  frag_stage = 0

time = 8.1000e-02  lum = 5.9696e+07  alt = 6.4574e+06  mass = 2.3643e+03  dia = 1.0992e+00  area = 3.7958e+00
KE = 2.4515e+11  v = 1.4400e+04  acc = 2.1297e+00  E_rad_ttl = 4.5765e+06  E_dep = 5.4578e+08  Fdrag = 5.7601e+03  theta_deg = 38.000
q_h = 8.7403e+07  q = 4.0465e+03  M = 3.9861e+01  T_stag = 6.0609e+04  p_stag = 4.0507e+03  T_surf = 6.4331e+03
T = 3.7907e+02  p = 4.2446e+00  rho = 3.9029e-05  a = 3.6126e+02  tau = 8.5737e-03  frag_stage = 0

time = 8.4000e-02  lum = 5.9952e+07  alt = 6.4574e+06  mass = 2.3641e+03  dia = 1.0992e+00  area = 3.7955e+00
KE = 2.4513e+11  v = 1.4400e+04  acc = 2.1326e+00  E_rad_ttl = 4.7563e+06  E_dep = 5.6672e+08  Fdrag = 5.7748e+03  theta_deg = 38.000
q_h = 8.7631e+07  q = 4.0570e+03  M = 3.9865e+01  T_stag = 6.0608e+04  p_stag = 4.0613e+03  T_surf = 6.4373e+03
T = 3.7899e+02  p = 4.2548e+00  rho = 3.9130e-05  a = 3.6122e+02  tau = 8.5886e-03  frag_stage = 0

time = 8.7000e-02  lum = 6.0209e+07  alt = 6.4574e+06  mass = 2.3639e+03  dia = 1.0991e+00  area = 3.7953e+00
KE = 2.4511e+11  v = 1.4400e+04  acc = 2.1355e+00  E_rad_ttl = 4.9370e+06  E_dep = 5.8772e+08  Fdrag = 5.7895e+03  theta_deg = 38.000
q_h = 8.7859e+07  q = 4.0676e+03  M = 3.9869e+01  T_stag = 6.0608e+04  p_stag = 4.0718e+03  T_surf = 6.4414e+03
T = 3.7891e+02  p = 4.2650e+00  rho = 3.9232e-05  a = 3.6118e+02  tau = 8.6036e-03  frag_stage = 0

time = 9.0000e-02  lum = 6.0468e+07  alt = 6.4573e+06  mass = 2.3637e+03  dia = 1.0991e+00  area = 3.7951e+00
KE = 2.4509e+11  v = 1.4400e+04  acc = 2.1384e+00  E_rad_ttl = 5.1184e+06  E_dep = 6.0876e+08  Fdrag = 5.8042e+03  theta_deg = 38.000
q_h = 8.8087e+07  q = 4.0781e+03  M = 3.9873e+01  T_stag = 6.0608e+04  p_stag = 4.0824e+03  T_surf = 6.4456e+03
T = 3.7883e+02  p = 4.2752e+00  rho = 3.9334e-05  a = 3.6114e+02  tau = 8.6186e-03  frag_stage = 0

time = 9.3000e-02  lum = 6.0727e+07  alt = 6.4573e+06  mass = 2.3635e+03  dia = 1.0991e+00  area = 3.7949e+00
KE = 2.4506e+11  v = 1.4400e+04  acc = 2.1413e+00  E_rad_ttl = 5.3005e+06  E_dep = 6.2987e+08  Fdrag = 5.8190e+03  theta_deg = 38.000
q_h = 8.8317e+07  q = 4.0888e+03  M = 3.9877e+01  T_stag = 6.0608e+04  p_stag = 4.0930e+03  T_surf = 6.4498e+03
T = 3.7875e+02  p = 4.2854e+00  rho = 3.9437e-05  a = 3.6111e+02  tau = 8.6336e-03  frag_stage = 0

time = 9.6000e-02  lum = 6.0988e+07  alt = 6.4573e+06  mass = 2.3633e+03  dia = 1.0990e+00  area = 3.7947e+00
KE = 2.4504e+11  v = 1.4400e+04  acc = 2.1443e+00  E_rad_ttl = 5.4835e+06  E_dep = 6.5102e+08  Fdrag = 5.8338e+03  theta_deg = 38.000
q_h = 8.8547e+07  q = 4.0994e+03  M = 3.9881e+01  T_stag = 6.0608e+04  p_stag = 4.1037e+03  T_surf = 6.4540e+03
T = 3.7868e+02  p = 4.2956e+00  rho = 3.9539e-05  a = 3.6107e+02  tau = 8.6486e-03  frag_stage = 0

time = 9.9000e-02  lum = 6.1250e+07  alt = 6.4573e+06  mass = 2.3631e+03  dia = 1.0990e+00  area = 3.7945e+00
KE = 2.4502e+11  v = 1.4400e+04  acc = 2.1473e+00  E_rad_ttl = 5.6673e+06  E_dep = 6.7223e+08  Fdrag = 5.8487e+03  theta_deg = 38.000
q_h = 8.8777e+07  q = 4.1101e+03  M = 3.9886e+01  T_stag = 6.0608e+04  p_stag = 4.1144e+03  T_surf = 6.4582e+03
T = 3.7860e+02  p = 4.3059e+00  rho = 3.9642e-05  a = 3.6103e+02  tau = 8.6637e-03  frag_stage = 0

time = 1.0200e-01  lum = 6.1513e+07  alt = 6.4572e+06  mass = 2.3629e+03  dia = 1.0990e+00  area = 3.7943e+00
KE = 2.4500e+11  v = 1.4400e+04  acc = 2.1503e+00  E_rad_ttl = 5.8518e+06  E_dep = 6.9349e+08  Fdrag = 5.8636e+03  theta_deg = 38.000
q_h = 8.9009e+07  q = 4.1208e+03  M = 3.9890e+01  T_stag = 6.0608e+04  p_stag = 4.1251e+03  T_surf = 6.4624e+03
T = 3.7852e+02  p = 4.3162e+00  rho = 3.9746e-05  a = 3.6099e+02  tau = 8.6788e-03  frag_stage = 0

time = 1.0500e-01  lum = 6.1778e+07  alt = 6.4572e+06  mass = 2.3627e+03  dia = 1.0989e+00  area = 3.7940e+00
KE = 2.4498e+11  v = 1.4400e+04  acc = 2.1533e+00  E_rad_ttl = 6.0371e+06  E_dep = 7.1481e+08  Fdrag = 5.8785e+03  theta_deg = 38.000
q_h = 8.9240e+07  q = 4.1315e+03  M = 3.9894e+01  T_stag = 6.0608e+04  p_stag = 4.1359e+03  T_surf = 6.4666e+03
